sample_id,ena_analysis
AN0193-Cx,ERZ1696061
AN0194-C,ERZ1696062
AN0195-Cx,ERZ1696063
AN0196-C,ERZ1696064
AN0197-Cx,ERZ1696065
AN0198-C,ERZ1696066
AN0199-C,ERZ1696067
AN0200-C,ERZ1696068
AN0201-Cx,ERZ1696069
AN0202-Cx,ERZ1696070
AN0203-Cx,ERZ1696071
AN0204-C,ERZ1696072
AN0205-C,ERZ1696073
AN0206-C,ERZ1696074
AN0207-C,ERZ1696075
AN0208-C,ERZ1696076
AN0209-C,ERZ1696077
AN0210-Cx,ERZ1696078
AN0212-C,ERZ1696079
AN0213-C,ERZ1696080
AN0214-C,ERZ1696081
AN0215-C,ERZ1696082
AN0217-C,ERZ1696083
AN0218-C,ERZ1696084
AN0219-C,ERZ1696085
AN0220-C,ERZ1696086
AN0221-C,ERZ1696087
AN0222-Cx,ERZ1696088
AN0223-C,ERZ1696089
AN0224-Cx,ERZ1696090
AN0225-Cx,ERZ1696091
AN0226-Cx,ERZ1696092
AN0227-Cx,ERZ1696093
AN0228-C,ERZ1696094
AN0229-Cx,ERZ1696095
AN0230-Cx,ERZ1696096
AN0231-Cx,ERZ1696097
AN0232-C,ERZ1696098
AN0233-C,ERZ1696099
AN0234-C,ERZ1696100
AN0235-C,ERZ1696101
AN0236-Cx,ERZ1696102
AN0237-Cx,ERZ1696103
AN0238-C,ERZ1696104
AN0239-C,ERZ1696105
AN0240-C,ERZ1696106
AN0241-C,ERZ1696107
AN0242-C,ERZ1696108
AN0243-C,ERZ1696109
AN0244-C,ERZ1696110
AN0245-C,ERZ1696111
AN0246-C,ERZ1696112
AN0247-C,ERZ1696113
AN0248-C,ERZ1696114
AN0250-C,ERZ1696115
AN0251-C,ERZ1696116
AN0252-C,ERZ1696117
AN0253-C,ERZ1696118
AN0254-C,ERZ1696119
AN0255-C,ERZ1696120
AN0256-C,ERZ1696121
AN0258-C,ERZ1696122
AN0259-Cx,ERZ1696123
AN0260-C,ERZ1696124
AN0261-Cx,ERZ1696125
AN0262-C,ERZ1696126
AN0263-Cx,ERZ1696127
AN0264-C,ERZ1696128
AN0265-C,ERZ1696129
AN0266-C,ERZ1696130
AN0267-Cx,ERZ1696131
AN0268-C,ERZ1696132
AN0269-C,ERZ1696133
AN0270-C,ERZ1696134
AN0271-C,ERZ1696135
AN0272-C,ERZ1696136
AN0275-C,ERZ1696137
AN0276-C,ERZ1696138
AN0277-C,ERZ1696139
AN0278-C,ERZ1696140
AN0279-C,ERZ1696141
AN0280-C,ERZ1696142
AN0281-C,ERZ1696143
AN0282-Cx,ERZ1696144
AN0283-Cx,ERZ1696145
AN0284-Cx,ERZ1696146
AN0285-C,ERZ1696147
AN0286-Cx,ERZ1696148
AN0287-Cx,ERZ1696149
AN0288-Cx,ERZ1696150
AN0289-C,ERZ1696151
AN0290-Cx,ERZ1696152
AN0291-Cx,ERZ1696153
AN0292-C,ERZ1696154
AN0293-Cx,ERZ1696155
AN0294-C,ERZ1696156
AN0295-C,ERZ1696157
AN0296-Cx,ERZ1696158
AN0297-C,ERZ1696159
AN0298-Cx,ERZ1696160
AN0299-C,ERZ1696161
AN0300-C,ERZ1696162
AN0301-Cx,ERZ1696163
AN0302-C,ERZ1696164
AN0303-C,ERZ1696165
AN0304-C,ERZ1696166
AN0305-C,ERZ1696167
AN0306-C,ERZ1696168
AN0307-C,ERZ1696169
AN0308-C,ERZ1696170
AN0309-Cx,ERZ1696171
AN0310-C,ERZ1696172
AN0311-C,ERZ1696173
AN0312-C,ERZ1696174
AN0313-C,ERZ1696175
AN0314-C,ERZ1696176
AN0315-C,ERZ1696177
AN0316-C,ERZ1696178
AN0317-C,ERZ1696179
AN0318-C,ERZ1696180
AN0319-C,ERZ1696181
AN0320-C,ERZ1696182
AN0321-C,ERZ1696183
AB0293-C,ERZ1696184
AB0294-C,ERZ1696185
AB0295-C,ERZ1696186
AB0297-C,ERZ1696187
AN0418-C,ERZ1696188
AN0419-C,ERZ1696189
AN0421-C,ERZ1696190
AN0423-C,ERZ1696191
AN0424-C,ERZ1696192
AN0425-C,ERZ1696193
AN0426-C,ERZ1696194
AN0427-C,ERZ1696195
AN0428-C,ERZ1696196
AN0430-C,ERZ1696197
AN0431-C,ERZ1696198
AN0433-C,ERZ1696199
AN0434-C,ERZ1696200
AN0435-C,ERZ1696201
AN0436-C,ERZ1696202
AN0437-C,ERZ1696203
AN0438-C,ERZ1696204
AN0440-C,ERZ1696205
AN0442-C,ERZ1696206
AN0443-C,ERZ1696207
AN0444-C,ERZ1696208
AN0445-C,ERZ1696209
AN0448-C,ERZ1696210
AN0449-C,ERZ1696211
AN0451-C,ERZ1696212
AN0453-C,ERZ1696213
AN0454-C,ERZ1696214
AN0455-C,ERZ1696215
AN0457-C,ERZ1696216
AN0458-C,ERZ1696217
AN0460-C,ERZ1696218
AN0466-C,ERZ1696219
AN0468-C,ERZ1696220
AN0469-C,ERZ1696221
AN0470-C,ERZ1696222
AN0471-C,ERZ1696223
AN0474-C,ERZ1696224
AN0475-C,ERZ1696225
AN0476-C,ERZ1696226
AN0477-C,ERZ1696227
AN0478-C,ERZ1696228
AN0479-C,ERZ1696229
AN0480-C,ERZ1696230
AN0485-C,ERZ1696231
AN0486-C,ERZ1696232
AN0487-C,ERZ1696233
AN0488-C,ERZ1696234
AN0492-C,ERZ1696235
AN0493-C,ERZ1696236
VBS02003-4431STDY6672871,ERZ1696237
VBS02004-4431STDY6672872,ERZ1696238
VBS02005-4431STDY6672873,ERZ1696239
VBS02006-4431STDY6672874,ERZ1696240
VBS02007-4431STDY6672875,ERZ1696241
VBS02008-4431STDY6672876,ERZ1696242
VBS02009-4431STDY6672877,ERZ1696243
VBS02010-4431STDY6672878,ERZ1696244
VBS02011-4431STDY6672879,ERZ1696245
VBS02012-4431STDY6672880,ERZ1696246
VBS02014-4431STDY6672882,ERZ1696247
VBS02015-4431STDY6672883,ERZ1696248
VBS02016-4431STDY6672884,ERZ1696249
VBS02017-4431STDY6672885,ERZ1696250
VBS02018-4431STDY6672886,ERZ1696251
VBS02020-4431STDY6672888,ERZ1696252
VBS02021-4431STDY6672889,ERZ1696253
VBS02022-4431STDY6672890,ERZ1696254
VBS02023-4431STDY6672891,ERZ1696255
VBS02024-4431STDY6672892,ERZ1696256
VBS02025-4431STDY6672893,ERZ1696257
VBS02026-4431STDY6672894,ERZ1696258
VBS02027-4431STDY6672895,ERZ1696259
VBS02028-4431STDY6672896,ERZ1696260
VBS02029-4431STDY6672897,ERZ1696261
VBS02030-4431STDY6672898,ERZ1696262
VBS02031-4431STDY6672899,ERZ1696263
VBS02032-4431STDY6672900,ERZ1696264
VBS02033-4431STDY6672901,ERZ1696265
VBS02034-4431STDY6672902,ERZ1696266
VBS02035-4431STDY6672903,ERZ1696267
VBS02036-4431STDY6672904,ERZ1696268
VBS02037-4431STDY6672905,ERZ1696269
VBS02038-4431STDY6672906,ERZ1696270
VBS02039-4431STDY6672907,ERZ1696271
VBS02040-4431STDY6672908,ERZ1696272
VBS02041-4431STDY6672909,ERZ1696273
VBS02042-4431STDY6672910,ERZ1696274
VBS02043-4431STDY6672911,ERZ1696275
VBS02044-4431STDY6672912,ERZ1696276
VBS02045-4431STDY6672913,ERZ1696277
VBS02046-4431STDY6672914,ERZ1696278
VBS02047-4431STDY6672915,ERZ1696279
VBS02048-4431STDY6672916,ERZ1696280
AN0325-C,ERZ1696281
AN0326-C,ERZ1696282
AN0332-C,ERZ1696283
AN0338-C,ERZ1696284
AN0341-C,ERZ1696285
AN0344-C,ERZ1696286
AN0348-C,ERZ1696287
AN0379-C,ERZ1696288
AN0398-CW,ERZ1696289
AN0402-C,ERZ1696290
AN0405-CW,ERZ1696291
AN0408-C,ERZ1696292
AN0495-CW,ERZ1696293
AN0499-CW,ERZ1696294
AN0500-CW,ERZ1696295
AN0503-CW,ERZ1696296
AN0511-CW,ERZ1696297
AN0544-CW,ERZ1696298
AN0574-CW,ERZ1696299
AN0577-CW,ERZ1696300
AN0578-CW,ERZ1696301
AN0579-CW,ERZ1696302
AN0580-CW,ERZ1696303
AN0581-CW,ERZ1696304
AN0582-CW,ERZ1696305
AN0585-CW,ERZ1696306
AN0586-CW,ERZ1696307
AN0587-CW,ERZ1696308
AN0588-CW,ERZ1696309
AN0590-CW,ERZ1696310
AN0601-CW,ERZ1696311
AN0603-CW,ERZ1696312
AN0604-CW,ERZ1696313
AN0607-CW,ERZ1696314
AN0616-CW,ERZ1696315
AN0619-CW,ERZ1696316
AN0621-CW,ERZ1696317
AN0622-CW,ERZ1696318
AN0623-CW,ERZ1696319
AN0624-CW,ERZ1696320
AN0626-CW,ERZ1696321
AN0633-CW,ERZ1696322
AN0634-CW,ERZ1696323
AN0643-CW,ERZ1696324
AP0002-C,ERZ1696325
AP0005-C,ERZ1696326
AP0006-C,ERZ1696327
AP0007-C,ERZ1696328
AP0008-C,ERZ1696329
AP0009-C,ERZ1696330
AP0010-C,ERZ1696331
AP0011-C,ERZ1696332
AP0013-Cx,ERZ1696333
AP0014-Cx,ERZ1696334
AP0017-Cx,ERZ1696335
AP0019-C,ERZ1696336
AP0020-C,ERZ1696337
AP0021-C,ERZ1696338
AP0022-C,ERZ1696339
AP0023-C,ERZ1696340
AP0025-C,ERZ1696341
AP0030-C,ERZ1696342
AP0031-C,ERZ1696343
AP0032-C,ERZ1696344
AP0033-C,ERZ1696345
AP0034-C,ERZ1696346
AP0035-C,ERZ1696347
AS0001-C,ERZ1696348
AS0002-Cx,ERZ1696349
AS0003-C,ERZ1696350
AS0004-C,ERZ1696351
AS0005-C,ERZ1696352
AS0006-C,ERZ1696353
AS0007-C,ERZ1696354
AS0008-Cx,ERZ1696355
AS0009-C,ERZ1696356
AS0010-C,ERZ1696357
AS0011-C,ERZ1696358
AS0012-C,ERZ1696359
AS0013-C,ERZ1696360
AS0014-Cx,ERZ1696361
AS0015-Cx,ERZ1696362
AS0016-C,ERZ1696363
AS0017-C,ERZ1696364
AS0018-C,ERZ1696365
AS0019-Cx,ERZ1696366
AS0020-C,ERZ1696367
AS0021-C,ERZ1696368
AS0022-C,ERZ1696369
AS0023-Cx,ERZ1696370
AS0024-Cx,ERZ1696371
AS0026-C,ERZ1696372
AS0027-Cx,ERZ1696373
AS0028-C,ERZ1696374
AS0029-C,ERZ1696375
AS0030-C,ERZ1696376
AS0032-C,ERZ1696377
AS0033-C,ERZ1696378
AS0034-C,ERZ1696379
AS0035-Cx,ERZ1696380
AS0036-C,ERZ1696381
AS0037-C,ERZ1696382
AS0039-C,ERZ1696383
AS0040-C,ERZ1696384
AS0041-C,ERZ1696385
AS0042-C,ERZ1696386
AS0044-Cx,ERZ1696387
AS0045-Cx,ERZ1696388
AS0046-C,ERZ1696389
AS0047-C,ERZ1696390
AS0048-C,ERZ1696391
AS0049-C,ERZ1696392
AS0051-C,ERZ1696393
AS0052-C,ERZ1696394
AS0053-C,ERZ1696395
AS0054-C,ERZ1696396
AS0055-C,ERZ1696397
AS0056-C,ERZ1696398
AS0057-C,ERZ1696399
AS0058-Cx,ERZ1696400
AS0059-C,ERZ1696401
AS0060-C,ERZ1696402
AS0062-C,ERZ1696403
AS0064-C,ERZ1696404
AS0065-C,ERZ1696405
AS0066-C,ERZ1696406
AS0068-C,ERZ1696407
AS0069-C,ERZ1696408
AS0070-C,ERZ1696409
AS0071-C,ERZ1696410
AS0072-Cx,ERZ1696411
AS0073-C,ERZ1696412
AS0074-C,ERZ1696413
AS0076-C,ERZ1696414
AS0077-C,ERZ1696415
AS0078-C,ERZ1696416
AA0039-C,ERZ1696417
AA0040-C,ERZ1696418
AA0041-C,ERZ1696419
AA0042-C,ERZ1696420
AA0043-C,ERZ1696421
AA0044-C,ERZ1696422
AA0045-C,ERZ1696423
AA0046-C,ERZ1696424
AA0047-C,ERZ1696425
AA0048-C,ERZ1696426
AA0049-C,ERZ1696427
AA0050-C,ERZ1696428
AA0051-C,ERZ1696429
AA0052-C,ERZ1696430
AA0053-C,ERZ1696431
AA0054-C,ERZ1696432
AA0055-C,ERZ1696433
AA0056-C,ERZ1696434
AA0057-C,ERZ1696435
AA0058-C,ERZ1696436
AA0059-C,ERZ1696437
AA0060-C,ERZ1696438
AA0061-C,ERZ1696439
AA0062-C,ERZ1696440
AA0063-C,ERZ1696441
AA0064-C,ERZ1696442
AA0065-C,ERZ1696443
AA0066-C,ERZ1696444
AA0067-C,ERZ1696445
AA0068-C,ERZ1696446
AA0069-C,ERZ1696447
AA0070-C,ERZ1696448
AA0071-C,ERZ1696449
AA0072-C,ERZ1696450
AA0073-C,ERZ1696451
AA0074-C,ERZ1696452
AA0075-C,ERZ1696453
AA0076-C,ERZ1696454
AA0077-C,ERZ1696455
AA0079-C,ERZ1696456
AA0080-C,ERZ1696457
AA0081-C,ERZ1696458
AA0082-C,ERZ1696459
AA0084-C,ERZ1696460
AA0085-C,ERZ1696461
AA0086-C,ERZ1696462
AA0087-C,ERZ1696463
AA0088-C,ERZ1696464
AA0089-C,ERZ1696465
AA0090-C,ERZ1696466
AA0091-C,ERZ1696467
AA0092-C,ERZ1696468
AA0093-C,ERZ1696469
AA0094-C,ERZ1696470
AA0095-C,ERZ1696471
AA0096-C,ERZ1696472
AA0097-C,ERZ1696473
AA0098-C,ERZ1696474
AA0099-C,ERZ1696475
AA0100-C,ERZ1696476
AA0101-C,ERZ1696477
AA0102-C,ERZ1696478
AA0103-C,ERZ1696479
AA0104-C,ERZ1696480
AA0105-C,ERZ1696481
AA0106-C,ERZ1696482
AA0107-C,ERZ1696483
AA0108-C,ERZ1696484
AA0109-C,ERZ1696485
AA0110-C,ERZ1696486
AA0111-C,ERZ1696487
AA0112-C,ERZ1696488
AA0113-C,ERZ1696489
AA0114-C,ERZ1696490
AA0115-C,ERZ1696491
AA0116-C,ERZ1696492
AA0117-C,ERZ1696493
AA0118-C,ERZ1696494
AA0119-C,ERZ1696495
AA0120-C,ERZ1696496
AA0122-C,ERZ1696497
AA0123-C,ERZ1696498
AA0124-C,ERZ1696499
AA0125-C,ERZ1696500
AA0126-C,ERZ1696501
AA0127-C,ERZ1696502
AA0128-C,ERZ1696503
AA0129-C,ERZ1696504
AA0130-C,ERZ1696505
AA0131-C,ERZ1696506
AA0132-C,ERZ1696507
AA0133-C,ERZ1696508
AA0134-C,ERZ1696509
AA0135-C,ERZ1696510
AA0136-C,ERZ1696511
AA0137-C,ERZ1696512
AA0138-C,ERZ1696513
AA0139-C,ERZ1696514
AA0140-C,ERZ1696515
AA0141-C,ERZ1696516
AG0082-C,ERZ1696517
AG0085-C,ERZ1696518
AG0089-C,ERZ1696519
AG0096-C,ERZ1696520
AG0097-C,ERZ1696521
AG0098-C,ERZ1696522
AG0100-C,ERZ1696523
AG0102-C,ERZ1696524
AG0104-C,ERZ1696525
AG0106-C,ERZ1696526
AG0108-C,ERZ1696527
AG0109-C,ERZ1696528
AG0111-C,ERZ1696529
AG0118-C,ERZ1696530
AG0119-C,ERZ1696531
AG0120-C,ERZ1696532
AG0121-C,ERZ1696533
AG0123-C,ERZ1696534
AG0124-C,ERZ1696535
AG0125-C,ERZ1696536
AG0126-C,ERZ1696537
AG0127-C,ERZ1696538
AG0128-C,ERZ1696539
AG0129-C,ERZ1696540
AG0130-C,ERZ1696541
AG0133-C,ERZ1696542
AG0134-C,ERZ1696543
AG0135-C,ERZ1696544
AG0136-C,ERZ1696545
AG0137-C,ERZ1696546
AG0138-C,ERZ1696547
AG0139-C,ERZ1696548
AG0141-C,ERZ1696549
AG0142-C,ERZ1696550
AG0143-C,ERZ1696551
AG0144-C,ERZ1696552
AG0145-C,ERZ1696553
AG0146-C,ERZ1696554
AG0147-C,ERZ1696555
AG0148-C,ERZ1696556
AG0152-C,ERZ1696557
AG0153-C,ERZ1696558
AG0156-C,ERZ1696559
AG0159-C,ERZ1696560
AG0162-C,ERZ1696561
AG0163-C,ERZ1696562
AG0169-C,ERZ1696563
AG0170-C,ERZ1696564
AG0172-C,ERZ1696565
AG0178-C,ERZ1696566
AG0179-C,ERZ1696567
AG0181-C,ERZ1696568
AG0183-C,ERZ1696569
AG0195-C,ERZ1696570
AG0197-C,ERZ1696571
AG0200-C,ERZ1696572
AG0202-C,ERZ1696573
AG0203-C,ERZ1696574
AG0204-C,ERZ1696575
AG0206-C,ERZ1696576
AG0208-C,ERZ1696577
AG0209-C,ERZ1696578
AG0214-C,ERZ1696579
AG0221-C,ERZ1696580
AG0223-C,ERZ1696581
AG0225-C,ERZ1696582
AG0226-C,ERZ1696583
AG0227-C,ERZ1696584
AG0229-C,ERZ1696585
AG0230-C,ERZ1696586
AG0231-C,ERZ1696587
AG0232-C,ERZ1696588
AG0234-C,ERZ1696589
AG0263-C,ERZ1696590
AG0382-CW,ERZ1696591
AG0383-CW,ERZ1696592
AG0386-CW,ERZ1696593
AG0390-CW,ERZ1696594
AG0394-CW,ERZ1696595
AG0395-CW,ERZ1696596
AG0396-CW,ERZ1696597
AG0403-CW,ERZ1696598
AG0404-CW,ERZ1696599
AG0405-CW,ERZ1696600
AG0406-CW,ERZ1696601
AG0410-CW,ERZ1696602
AG0411-CW,ERZ1696603
AG0412-CW,ERZ1696604
AG0415-CW,ERZ1696605
AG0416-CW,ERZ1696606
AG0418-CW,ERZ1696607
AG0420-CW,ERZ1696608
AG0422-CW,ERZ1696609
AG0423-CW,ERZ1696610
AG0442-CW,ERZ1696611
AG0443-CW,ERZ1696612
AG0445-CW,ERZ1696613
AG0446-CW,ERZ1696614
AG0448-CW,ERZ1696615
AG0450-CW,ERZ1696616
AG0451-CW,ERZ1696617
AG0454-CW,ERZ1696618
AG0455-CW,ERZ1696619
AG0456-CW,ERZ1696620
AG0460-CW,ERZ1696621
AG0001-C,ERZ1696622
AG0002-C,ERZ1696623
AG0003-C,ERZ1696624
AG0004-C,ERZ1696625
AG0005-C,ERZ1696626
AG0006-C,ERZ1696627
AG0007-C,ERZ1696628
AG0009-C,ERZ1696629
AG0010-C,ERZ1696630
AG0011-C,ERZ1696631
AG0012-C,ERZ1696632
AG0013-C,ERZ1696633
AG0014-C,ERZ1696634
AG0015-C,ERZ1696635
AG0016-C,ERZ1696636
AG0018-C,ERZ1696637
AG0019-C,ERZ1696638
AG0020-C,ERZ1696639
AG0021-C,ERZ1696640
AG0022-C,ERZ1696641
AG0023-C,ERZ1696642
AG0024-C,ERZ1696643
AG0025-C,ERZ1696644
AG0027-C,ERZ1696645
AG0028-C,ERZ1696646
AG0029-C,ERZ1696647
AG0031-C,ERZ1696648
AG0032-C,ERZ1696649
AG0033-C,ERZ1696650
AG0035-C,ERZ1696651
AG0037-C,ERZ1696652
AG0038-C,ERZ1696653
AG0039-C,ERZ1696654
AG0040-C,ERZ1696655
AG0041-C,ERZ1696656
AG0042-C,ERZ1696657
AG0043-C,ERZ1696658
AG0044-C,ERZ1696659
AG0045-C,ERZ1696660
AG0047-C,ERZ1696661
AG0048-C,ERZ1696662
AG0049-C,ERZ1696663
AG0050-C,ERZ1696664
AG0051-C,ERZ1696665
AG0052-C,ERZ1696666
AG0053-C,ERZ1696667
AG0054-C,ERZ1696668
AG0055-C,ERZ1696669
AG0056-C,ERZ1696670
AG0058-C,ERZ1696671
AG0059-C,ERZ1696672
AG0060-C,ERZ1696673
AG0061-C,ERZ1696674
AG0062-C,ERZ1696675
AG0063-C,ERZ1696676
AG0064-C,ERZ1696677
AG0065-C,ERZ1696678
AG0066-C,ERZ1696679
AG0067-C,ERZ1696680
AG0068-C,ERZ1696681
AG0069-C,ERZ1696682
AG0071-C,ERZ1696683
AG0072-C,ERZ1696684
AG0074-C,ERZ1696685
AG0075-C,ERZ1696686
AG0076-C,ERZ1696687
AG0077-C,ERZ1696688
AG0270-C,ERZ1696689
AG0271-C,ERZ1696690
AG0272-C,ERZ1696691
AG0273-C,ERZ1696692
AG0274-C,ERZ1696693
AG0275-C,ERZ1696694
AG0276-C,ERZ1696695
AG0277-C,ERZ1696696
AG0278-C,ERZ1696697
AG0279-C,ERZ1696698
AG0281-C,ERZ1696699
AG0282-C,ERZ1696700
AG0283-C,ERZ1696701
AG0284-C,ERZ1696702
AG0285-C,ERZ1696703
AG0286-C,ERZ1696704
AG0287-C,ERZ1696705
AG0288-C,ERZ1696706
AG0289-C,ERZ1696707
AG0290-C,ERZ1696708
AG0291-C,ERZ1696709
AG0292-C,ERZ1696710
AG0293-C,ERZ1696711
AG0294-C,ERZ1696712
AG0295-C,ERZ1696713
AG0296-C,ERZ1696714
AG0297-C,ERZ1696715
AG0298-C,ERZ1696716
AG0299-C,ERZ1696717
AG0300-C,ERZ1696718
AG0301-C,ERZ1696719
AG0302-C,ERZ1696720
AG0303-C,ERZ1696721
AG0304-C,ERZ1696722
AG0305-C,ERZ1696723
AG0306-C,ERZ1696724
AG0307-C,ERZ1696725
AG0308-C,ERZ1696726
AG0309-C,ERZ1696727
AG0310-C,ERZ1696728
AG0311-C,ERZ1696729
AG0312-C,ERZ1696730
AG0313-C,ERZ1696731
AG0314-C,ERZ1696732
AG0315-C,ERZ1696733
AG0316-C,ERZ1696734
AG0317-C,ERZ1696735
AG0318-C,ERZ1696736
AG0319-C,ERZ1696737
AG0320-C,ERZ1696738
AG0321-C,ERZ1696739
AG0322-C,ERZ1696740
AG0323-C,ERZ1696741
AG0324-C,ERZ1696742
AG0325-C,ERZ1696743
AG0326-C,ERZ1696744
AG0327-C,ERZ1696745
AG0328-C,ERZ1696746
AG0329-C,ERZ1696747
AG0330-C,ERZ1696748
AG0331-C,ERZ1696749
AG0332-C,ERZ1696750
AG0333-C,ERZ1696751
AG0334-C,ERZ1696752
AG0335-C,ERZ1696753
AG0336-C,ERZ1696754
AG0337-C,ERZ1696755
AG0338-C,ERZ1696756
AG0339-C,ERZ1696757
AG0340-C,ERZ1696758
AG0341-C,ERZ1696759
AG0342-C,ERZ1696760
AG0343-C,ERZ1696761
AG0344-C,ERZ1696762
AG0345-C,ERZ1696763
AG0346-C,ERZ1696764
AG0347-C,ERZ1696765
AG0348-C,ERZ1696766
AG0349-C,ERZ1696767
AG0350-C,ERZ1696768
AG0351-C,ERZ1696769
AG0352-C,ERZ1696770
AG0353-C,ERZ1696771
AG0354-C,ERZ1696772
AG0355-C,ERZ1696773
AG0356-C,ERZ1696774
AG0357-C,ERZ1696775
AG0358-C,ERZ1696776
AG0359-C,ERZ1696777
AG0360-C,ERZ1696778
AG0361-C,ERZ1696779
AG0362-C,ERZ1696780
AG0363-C,ERZ1696781
AG0364-C,ERZ1696782
AG0365-C,ERZ1696783
AG0366-C,ERZ1696784
AG0367-C,ERZ1696785
AG0368-C,ERZ1696786
AG0369-C,ERZ1696787
AG0370-C,ERZ1696788
AG0371-C,ERZ1696789
AG0372-C,ERZ1696790
AG0373-C,ERZ1696791
AG0374-C,ERZ1696792
AG0375-C,ERZ1696793
AG0376-C,ERZ1696794
AG0377-C,ERZ1696795
AV0001-C,ERZ1696796
AV0002-C,ERZ1696797
AV0003-Cx,ERZ1696798
AV0004-Cx,ERZ1696799
AV0005-C,ERZ1696800
AV0006-C,ERZ1696801
AV0007-C,ERZ1696802
AV0008-C,ERZ1696803
AV0009-C,ERZ1696804
AV0010-C,ERZ1696805
AV0011-C,ERZ1696806
AV0012-C,ERZ1696807
AV0013-C,ERZ1696808
AV0014-C,ERZ1696809
AV0015-C,ERZ1696810
